,Date,Value,USD (PM)
0,2016-09-11,621.65,
1,2016-09-12,609.67,1324.6
2,2016-09-13,610.92,1323.65
3,2016-09-14,608.82,1321.75
4,2016-09-15,610.38,1310.8
5,2016-09-16,609.11,1308.35
6,2016-09-17,607.04,
7,2016-09-18,611.58,
8,2016-09-19,610.19,1314.85
9,2016-09-20,608.66,1313.8
10,2016-09-21,598.88,1326.1
11,2016-09-22,597.42,1339.1
12,2016-09-23,594.08,1338.65
13,2016-09-24,603.88,
14,2016-09-25,601.74,
15,2016-09-26,598.98,1340.5
16,2016-09-27,605.96,1327.0
17,2016-09-28,605.67,1322.5
18,2016-09-29,603.85,1318.1
19,2016-09-30,609.39,1322.5
20,2016-10-01,614.82,
21,2016-10-02,612.98,
22,2016-10-03,611.85,1313.3
23,2016-10-04,609.62,1283.3
24,2016-10-05,607.18,1269.4
25,2016-10-06,612.08,1254.5
26,2016-10-07,617.21,1258.75
27,2016-10-08,614.74,
28,2016-10-09,615.65,
29,2016-10-10,617.54,1259.5
30,2016-10-11,614.77,1253.45
31,2016-10-12,635.01,1256.5
32,2016-10-13,635.96,1261.05
33,2016-10-14,634.02,1251.75
34,2016-10-15,637.94,
35,2016-10-16,641.42,
36,2016-10-17,638.97,1254.8
37,2016-10-18,636.29,1258.2
38,2016-10-19,629.25,1269.05
39,2016-10-20,627.72,1271.65
40,2016-10-21,631.92,1266.05
41,2016-10-22,655.48,
42,2016-10-23,653.25,
43,2016-10-24,651.39,1265.55
44,2016-10-25,655.31,1269.4
45,2016-10-26,651.45,1270.5
46,2016-10-27,682.22,1266.25
47,2016-10-28,687.68,1273.0
48,2016-10-29,685.91,
49,2016-10-30,698.0,
50,2016-10-31,702.0,1272.0
51,2016-11-01,697.01,1288.45
52,2016-11-02,733.33,1303.75
53,2016-11-03,686.17,1301.0
54,2016-11-04,683.69,1302.8
55,2016-11-05,704.79,
56,2016-11-06,712.0,
57,2016-11-07,709.96,1283.05
58,2016-11-08,708.97,1282.35
59,2016-11-09,720.93,1281.4
60,2016-11-10,721.5,1267.5
61,2016-11-11,715.45,1236.45
62,2016-11-12,703.71,
63,2016-11-13,702.28,
64,2016-11-14,706.46,1213.6
65,2016-11-15,710.91,1226.95
66,2016-11-16,711.73,1229.2
67,2016-11-17,736.96,1226.75
68,2016-11-18,747.52,1211.0
69,2016-11-19,748.98,
70,2016-11-20,729.06,
71,2016-11-21,738.53,1214.25
72,2016-11-22,736.97,1212.25
73,2016-11-23,741.63,1185.35
74,2016-11-24,737.45,1186.1
75,2016-11-25,735.64,1187.7
76,2016-11-26,733.67,
77,2016-11-27,727.96,
78,2016-11-28,727.31,1187.0
79,2016-11-29,732.71,1186.55
80,2016-11-30,742.69,1178.1
81,2016-12-01,742.05,1161.85
82,2016-12-02,772.43,1173.5
83,2016-12-03,764.33,
84,2016-12-04,762.97,
85,2016-12-05,754.63,1162.2
86,2016-12-06,756.62,1172.5
87,2016-12-07,758.99,1177.65
88,2016-12-08,769.72,1171.05
89,2016-12-09,770.02,1163.6
90,2016-12-10,769.08,
91,2016-12-11,777.0,
92,2016-12-12,777.0,1156.1
93,2016-12-13,777.99,1158.55
94,2016-12-14,774.89,1162.25
95,2016-12-15,776.75,1126.95
96,2016-12-16,775.88,1131.6
97,2016-12-17,788.7,
98,2016-12-18,788.4,
99,2016-12-19,788.67,1136.25
100,2016-12-20,793.09,1125.7
101,2016-12-21,824.21,1133.65
102,2016-12-22,834.97,1131.35
103,2016-12-23,901.31,
104,2016-12-24,891.61,
105,2016-12-25,892.6,
106,2016-12-26,897.33,
107,2016-12-27,930.37,
108,2016-12-28,930.34,1134.6
109,2016-12-29,963.38,1145.9
110,2016-12-30,952.15,
111,2016-12-31,958.12,
112,2017-01-01,997.72,
113,2017-01-02,1015.97,
114,2017-01-03,1013.42,1151.0
115,2017-01-04,1126.76,1164.25
116,2017-01-05,994.67,1176.7
117,2017-01-06,999.65,1175.85
118,2017-01-07,896.83,
119,2017-01-08,908.14,
120,2017-01-09,910.49,1178.5
121,2017-01-10,906.05,1189.5
122,2017-01-11,785.22,1178.55
123,2017-01-12,780.92,1205.05
124,2017-01-13,826.29,1190.35
125,2017-01-14,817.91,
